1;Hydrogen;H;1,0078
2;Helium;He;4,0026
3;Lithium;Li;6,938
4;Berillium;Be;9,0122
5;Boron;B;10,806
6;Carbon;C;12,009
7;Nitrogen;N;14,006
8;Oxygen;O;15,999
9;Fluorine;F;18,998
10;Neon;Ne;20,180
